date,home_team,score,away_team
03-12-2024,Leicester,3 - 1,West Ham
16-12-2024,Bournemouth,1 - 1,West Ham
26-12-2024,Southampton,0 - 1,West Ham
04-01-2025,Man City,4 - 1,West Ham
26-01-2025,Aston Villa,1 - 1,West Ham
03-02-2025,Chelsea,2 - 1,West Ham
25-08-2024,Wolves,2 - 6,Chelsea
15-09-2024,Wolves,1 - 2,Newcastle
28-09-2024,Wolves,1 - 2,Liverpool
20-10-2024,Wolves,1 - 2,Man City
02-11-2024,Wolves,2 - 2,Crystal Palace
09-11-2024,Wolves,2 - 0,Southampton
30-11-2024,Wolves,2 - 4,Bournemouth
14-12-2024,Wolves,1 - 2,Ipswich
26-12-2024,Wolves,2 - 0,Man United
06-01-2025,Wolves,0 - 3,Nott'm Forest
25-01-2025,Wolves,0 - 1,Arsenal
01-02-2025,Wolves,2 - 0,Aston Villa
17-08-2024,Arsenal,2 - 0,Wolves
31-08-2024,Nott'm Forest,1 - 1,Wolves
21-09-2024,Aston Villa,3 - 1,Wolves
05-10-2024,Brentford,5 - 3,Wolves
26-10-2024,Brighton,2 - 2,Wolves
23-11-2024,Fulham,1 - 4,Wolves
04-12-2024,Everton,4 - 0,Wolves
09-12-2024,West Ham,2 - 1,Wolves
22-12-2024,Leicester,0 - 3,Wolves
29-12-2024,Tottenham,2 - 2,Wolves
15-01-2025,Newcastle,3 - 0,Wolves
20-01-2025,Chelsea,3 - 1,Wolves
16-02-2025,Liverpool,2 - 1,Wolves
